ID	NameB	TF
1	佐藤	366,803
2	鈴木	321,135
3	高橋	266,782
4	田中	245,821
5	伊藤	203,357
6	渡辺	200,504
7	山本	200,134
8	中村	195,219
9	小林	191,819
10	加藤	160,283
11	吉田	154,461
12	山田	151,675
13	佐々木	135,927
14	山口	119,501
15	松本	116,490
16	井上	111,287
17	木村	107,446
18	林	101,826
19	斎藤	101,774
20	清水	97,826
21	山崎	90,781
22	阿部	86,833
23	森	86,507
24	池田	84,860
25	橋本	82,836
26	山下	80,588
27	石川	77,471
28	中島	74,106
29	前田	72,930
30	藤田	72,375
31	後藤	71,629
32	小川	71,179
33	岡田	70,347
34	長谷川	69,201
35	村上	68,606
36	近藤	68,297
37	石井	67,079
38	遠藤	62,620
39	斉藤	62,540
40	坂本	62,308
41	青木	59,516
42	藤井	59,204
43	西村	58,821
44	福田	58,714
45	太田	58,439
46	三浦	58,006
47	藤原	57,742
48	松田	55,883
49	岡本	55,539
50	中川	55,221
51	中野	54,962
52	原田	54,827
53	小野	54,242
54	田村	53,673
55	竹内	53,247
56	金子	51,401
57	中山	50,575
58	和田	50,205
59	石田	49,545
60	上田	46,932
61	森田	46,505
62	原	45,810
63	工藤	45,608
64	酒井	45,025
65	横山	44,882
66	柴田	44,808
67	宮崎	44,178
68	宮本	43,981
69	内田	43,145
70	高木	43,107
71	安藤	42,008
72	谷口	41,721
73	丸山	40,343
74	大野	39,800
75	今井	39,535
76	高田	39,365
77	河野	38,743
78	藤本	38,701
79	武田	38,556
80	杉山	38,454
81	上野	38,100
82	菅原	38,003
83	村田	37,902
84	小島	37,725
85	増田	37,484
86	千葉	37,087
87	小山	36,713
88	平野	36,632
89	大塚	36,620
90	久保	36,065
91	松井	35,872
92	渡部	35,247
93	岩崎	35,224
94	木下	34,915
95	佐野	34,866
96	菊地	34,743
97	野口	34,715
98	松尾	34,469
99	野村	34,369
100	大西	33,781
101	杉本	33,770
102	新井	33,633
103	古川	33,571
104	小松	32,470
105	市川	32,167
106	高野	31,999
107	菊池	31,938
108	水野	31,753
109	島田	31,381
110	桜井	31,249
111	吉川	30,996
112	山内	30,965
113	五十嵐	30,735
114	西田	30,253
115	西川	29,798
116	北村	29,707
117	東	29,630
118	安田	29,365
119	中田	29,352
120	川口	29,140
121	平田	28,761
122	久保田	28,680
123	川崎	28,427
124	本田	28,305
125	飯田	28,116
126	関	27,911
127	浜田	27,707
128	辻	27,536
129	土屋	27,476
130	樋口	27,447
131	吉村	27,437
132	川上	27,422
133	田口	27,271
134	服部	27,228
135	岩田	27,193
136	中西	27,140
137	山中	27,027
138	福島	26,922
139	永井	26,914
140	松岡	26,901
141	森本	26,660
142	矢野	26,613
143	秋山	26,408
144	石原	26,281
145	松下	26,212
146	大橋	26,120
147	馬場	25,847
148	熊谷	25,678
149	松浦	25,549
150	小池	25,437
151	吉岡	25,348
152	浅野	25,197
153	大久保	25,028
154	荒木	25,004
155	野田	24,889
156	川村	24,805
157	星野	24,482
158	望月	24,380
159	大谷	24,139
160	堀	24,101
161	尾崎	23,887
162	黒田	23,790
163	菅野	23,751
164	永田	23,641
165	内藤	23,413
166	松村	23,282
167	西山	23,080
168	田辺	22,859
169	広瀬	22,805
170	大島	22,495
171	本間	22,467
172	平井	22,453
173	片山	22,329
174	岩本	22,267
175	大石	22,009
176	早川	21,987
177	岡崎	21,765
178	鎌田	21,725
179	成田	21,603
180	横田	21,570
181	荒井	21,532
182	小田	21,369
183	宮田	21,327
184	須藤	21,026
185	篠原	20,764
186	石橋	20,670
187	萩原	20,575
188	高山	20,500
189	松原	20,380
190	栗原	20,375
191	伊東	20,240
192	南	20,154
193	桑原	20,130
194	小西	20,044
195	大森	20,028
196	三宅	20,012
197	沢田	19,916
198	福井	19,851
199	奥村	19,796
200	岡	19,778
201	内山	19,640
202	片岡	19,597
203	松永	19,385
204	関口	19,316
205	北川	19,179
206	上原	19,109
207	奥田	18,982
208	上村	18,735
209	吉野	18,731
210	今村	18,655
211	八木	18,624
212	富田	18,559
213	白石	18,508
214	小泉	18,439
215	牧野	18,395
216	小沢	18,384
217	小野寺	18,371
218	平山	18,311
219	岡村	18,299
220	河合	18,277
221	古賀	18,236
222	中尾	18,203
223	川島	18,194
224	坂口	18,180
225	寺田	18,168
226	青山	18,161
227	児玉	17,960
228	宮下	17,863
229	大山	17,814
230	西	17,755
231	多田	17,671
232	小笠原	17,553
233	竹田	17,552
234	渋谷	17,512
235	小倉	17,463
236	足立	17,273
237	坂井	17,254
238	杉浦	17,210
239	村山	17,141
240	小原	16,963
241	天野	16,784
242	豊田	16,637
243	坂田	16,612
244	根本	16,602
245	武藤	16,569
246	水谷	16,556
247	森下	16,542
248	角田	16,541
249	河村	16,505
250	飯塚	16,295
251	関根	16,261
252	塚本	16,075
253	山根	16,059
254	神田	16,056
255	佐久間	15,972
256	前川	15,968
257	植田	15,929
258	田島	15,910
259	安部	15,835
260	中井	15,804
261	宮川	15,718
